frame.number,frame.time,frame.len,ip.proto,_ws.col.Protocol,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.seq,tcp.flags
"142","Jun 21, 2020 23:42:55.557303058 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"9121","0x00000018"
"143","Jun 21, 2020 23:42:55.557311216 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"144","Jun 21, 2020 23:42:55.557337782 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"9185","0x00000018"
"145","Jun 21, 2020 23:42:55.557442974 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"146","Jun 21, 2020 23:42:55.557447379 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"147","Jun 21, 2020 23:42:55.557554414 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"148","Jun 21, 2020 23:42:55.637496107 UTC","130","6","SSH","74.125.75.34","10.142.0.3","36378","22",,,"1","0x00000018"
"149","Jun 21, 2020 23:42:55.640231110 UTC","178","6","SSH","10.142.0.3","74.125.75.34","22","36378",,,"1","0x00000018"
"150","Jun 21, 2020 23:42:55.640543851 UTC","66","6","TCP","74.125.75.34","10.142.0.3","36378","22",,,"65","0x00000010"
"151","Jun 21, 2020 23:42:55.696303116 UTC","130","6","SSH","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000018"
"152","Jun 21, 2020 23:42:55.696326307 UTC","66","6","TCP","10.142.0.3","74.125.77.97","22","33392",,,"9249","0x00000010"
"153","Jun 21, 2020 23:42:55.907027202 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"385","0x00000018"
"154","Jun 21, 2020 23:42:55.907336175 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"155","Jun 21, 2020 23:42:56.410806939 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"449","0x00000018"
"156","Jun 21, 2020 23:42:56.411168542 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"157","Jun 21, 2020 23:42:56.922687736 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"513","0x00000018"
"158","Jun 21, 2020 23:42:56.923010715 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"159","Jun 21, 2020 23:42:57.434656058 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"577","0x00000018"
"160","Jun 21, 2020 23:42:57.434987489 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"161","Jun 21, 2020 23:42:57.946667017 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"641","0x00000018"
"162","Jun 21, 2020 23:42:57.946966921 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
